Date	Brand	Product Description	Reason / Problem	Company
12/22/2017	AuroMedics	Linezolid Injection	Particulate contamination (mold)	AuroMedics Pharma
12/19/2017	AuroMedics Pharma LLC	Pantoprazole Sodium for Injection 40 mg per vial	Contains glass particles	AuroMedics Pharma LLC
11/30/2017	Pharmacist Choice	Alcohol Prep Pads	Lack of sterility assurance	Simple Diagnostics
11/24/2017	Sun Pharma	Riomet® (Metformin Hydrochloride Oral Solution), 500 mg/5mL	Microbial Contamination (Scopulariopsis brevicaulis)	Sun Pharmaceutical Industries Ltd
11/16/2017	Greenstone LLC	diphenoxylate hydrochloride and atropine sulfate tablets, USP	Sub Potent and Super Potent Tablets	Greenstone LLC, a wholly owned subsidiary of Pfizer Inc.
11/14/2017	Nexterone	Amiodarone HCl	Particulate matter	Baxter International Inc
11/03/2017	Fresenius Kabi USA	Midazolam Injection, USP prefilled syringe	Mislabeled	Fresenius Kabi USA
11/01/2017	Ridge Properties DBA Pain Relief Naturally	Pain and itch relief products	Violations of current good manufacturing practice regulations.	Ridge Properties DBA Pain Relief Naturally
10/20/2017	SCA Pharmaceuticals LLC	Injectable drugs	Lack of Sterility Assurance	SCA Pharmaceuticals LLC
10/05/2017	Baxter	INTRALIPID 20% IV Fat Emulsion, 100 mL	Product exposed to subfreezing temperatures	Baxter International Inc.
10/05/2017	A1 Slim	Dietary Supplement A1 Slim	Unapproved new drug; tainted with sibutramine, phenolphthalein and N-Desmethyl sibutramine	Kiriko, LLC
09/06/2017	Genentech	Activase® (alteplase) 100mg vials	Lack of Sterility Assurance of the Sterile Water for Injection	Genentech
09/01/2017	PharMEDium	Oxytocin	Sub-potency	PharMEDium Services, LLC
08/31/2017	HYDROmorphone, Levophed	Hydromorphone HCl, Levophed	Lack of Sterility Assurance	Hospira, Inc.
08/30/2017	Hospira, Inc.	Vancomycin Hydrochloride for Injection	Particulate Matter	Hospira, Inc.
08/30/2017	Doctor Manzanilla	Allergy, cough medicine	Burkholderia cepacia	Mid Valley Pharmaceutical
08/30/2017	Piyanping	Anti-Itch Lotion	Contains dexamethasone instead of hydrocortisone	Lucky Mart Inc.
08/22/2017	Centurion	Ninjacof and Ninjacof A	Potential contamination with Burkholderia cepacia	Centurion Labs
08/18/2017	Bella Pharma	All lots of unexpired sterile drug products	Due to lack of sterility assurance	Bella Pharmaceuticals, Inc.
08/17/2017	Atlantic Pharmacy and Compounding	All compounded injectable prescription medications	Due to lack of sterility assurance	Vital Rx, Inc. d/b/a Atlantic Pharmacy and Compounding
08/14/2017	Amneal Pharmaceuticals LLC	Lorazepam Oral Concentrate, USP 2mg/mL	Misprinted Dosing Droppers	Amneal Pharmaceuticals LLC
08/10/2017	Leader, Major, Rugby	Liquid drug products	Potential contamination with B. cepacia	Cardinal Health
08/09/2017	International Laboratories, LLC	Pravastatin Sodium Tablets	Labeled as Pravastatin Sodium Tablets USP 40 mg but contained Bupropion Hydrochloride XL 300 mg tablets	International Laboratories, LLC
08/04/2017	Man of Steel	Man of Steel 1 and Man of Steel 2	Contains Undeclared Sildenafil	Man of Steel
08/02/2017	Rugby	Diocto Liquid and Diocto Syrup	Potential contamination with Burkholderia cepacia	Rugby® Laboratories
07/28/2017	ICU Medical, Inc.	0.9% Sodium Chloride Injection, USP 1000 mL	Particulate matter	ICU Medical, Inc.
07/27/2017	Apace Packaging LLC	Cyclobenzaprine HCl Tablet and Amantadine HCl Capsule	Cyclobenzaprine HCL may contain Amantadine HCL Capsules	Apace Packaging LLC
07/25/2017	Cantrell Drug Company	All unexpired sterile drug syringes and IV bags	Lack of sterility assurance	Cantrell Drug Company
07/21/2017	Super Panther 7K	Dietary Supplement	Unapproved new drug	Ultra Shop Supplement
07/13/2017	New of Kopi Jantan Tradisional	Natural Herbs Coffee Dietary Supplement	Unapproved new drug, Undeclared Milk Allergen	Bestherbs Coffee LLC
07/11/2017	Andropharm	Sten Z and M1 Alphas capsules	Unapproved drug	Andropharm
06/29/2017	Ultra-Sten, D-Zine	Marketed as a dietary supplement	Presence of anabolic steroids	Hardcore Formulations
06/23/2017	Fagron Sterile Services	Succinylcholine Chloride 20mg/mL	Lack of Sterility Assurance	Fagron Sterile Services
06/22/2017	Advanced Pharma	Potassium Phosphate and Succinylcholine Chloride	Lack of Sterility Assurance	Advanced Pharma, Inc. d/b/a Avella of Houston
06/17/2017	Bristol-Myers Squibb	Eliquis (apixaban) 5 mg Tablets	Tablet Mix-Up	Bristol-Myers Squibb
06/16/2017	Alvogen	Clindamycin Injection USP	Lack of sterility assurance	Alvogen
06/15/2017	Hospira	8.4% Sodium Bicarbonate Injection, USP, NeutTM (Sodium Bicarbonate 4% additive solution), QUELICINTM (Succinylcholine Chloride Injection, USP) and Potassium Phosphates Injection, USP	Lack of Sterility Assurance	Hospira Inc, A Pfizer Company
06/15/2017	Advanced Pharma	Nitroglycerin products	Due to sub-potency	Advanced Pharma, Inc. d/b/a Avella of Houston
06/15/2017	Teva Pharmaceuticals USA, Inc	Paliperidone Extended-Release Tablets, 3mg	Potential for product to be below specification	Teva Pharmaceuticals USA, Inc
06/10/2017	Bristol-Myers Squibb	Eliquis (apixaban) 5 mg Tablets	Tablet Mix-Up	Bristol-Myers Squibb
06/09/2017	Tetracycline-ABC, Tetrastem, Diabecline and more	topical products	Concerns of Manufacturing Practices	Phillips Company
05/25/2017	Caverflo	Natural Herbal Coffee	Undeclared Sildenafil and Tadalafil, Undeclared Milk	Caverflo.com
05/25/2017	Lupin	Mibelas 24 Fe (Norethindrone Acetate and Ethinyl Estradiol 1 mg/0.02 mg chewable and ferrous fumarate 75 mg)	Out of Sequence Tablets and Missing Expiry/Lot information	Lupin Pharmaceuticals Inc.
05/25/2017	Astrazeneca	professional (physician) sample BRILINTA (ticagrelor) 90mg tablets	Product container contained another medicine called ZURAMPIC	Astrazeneca
05/08/2017	Truxton Incorporated	Amitriptyline HCL Tablets, USP 50mg and Phenobarbital Tablets, USP 15mg, 30mg, 60mg, 100mg	Labeling mix-up	C.O. Truxton, Inc.
05/05/2017	GEC Laxoplex	Marketed as a dietary supplement	Presence of anabolic steroids	Genetic Edge Compounds
04/21/2017	Hospira, Inc.	25% Dextrose Injection, USP (Infant)	Particulate matter (human hair)	Hospira, Inc.
04/21/2017	C.O. Truxton, Inc.	Phenobarbital Tablets, USP, 15 mg	Product may contain 30 mg tablets	C.O. Truxton, Inc.
04/18/2017	Uproar, Cummor, Zrect, Monkey Business and others	Dietary Supplement	Unapproved new drug	Organic Herbal Supply, Inc.
04/13/2017	Hyland's	Baby teething tablets and Nightime teething tablets	Contains inconsistent amounts of belladonna alkaloids	Standard Homeopathic Company
04/06/2017	Isomeric Pharmacy Solutions	Multiple compounded sterile products	Concerns of lack of sterility assurance	Isomeric Pharmacy Solutions
03/31/2017	Mylan	EpiPen (epinephrine injection, USP) and EpiPen Jr® (epinephrine injection, USP) Auto-Injectors	Failure to activate the device due to a potential defect	Mylan N.V.
03/28/2017	LaBri’s Body Health	Dietary Supplement	Unapproved new drug	Envy Me
02/24/2017	Edex	Alprostadil for injection	Potential Lack of Sterility Assurance	Endo Pharmaceuticals Inc.
02/23/2017	Advanced Pharma	All unexpired sterile injectable products labeled “latex free” that were produced at Advanced Pharma, Inc.’s Houston location	Products may contain synthetic latex and/or natural latex	Avella Specialty Pharmacy
02/17/2017	Synergy Rx Pharmacy	Non-sterile drug products	Lack of Quality Assurance	Synergy Rx Pharmacy
02/14/2017	Synergy Rx Pharmacy	Human Chorionic Gonadotropin (HCG) for injection	Lack of Sterility Assurance	Synergy Rx Pharmacy
02/08/2017	X-Gen	Ibuprofen Lysine Injection, 20 mg/2 mL	Presence of particulate matter	Exela Pharma Sciences, LLC
01/24/2017	Hospira, Inc.	Vancomycin Hydrochloride for injection	Particulate matter	Hospira, Inc.
12/28/2016	Duravet	Duramycin-10 Soluble Powder	Stability Failure	Huvepharma, Inc
11/29/2016	Megajex	Male Sex Enhancer Dietary Supplement	Unapproved new drug	MS Bionic, Inc
11/24/2016	CVS and Kids Relief	Homeopathic products	Misdeclared Belladonna extract levels	Raritan Pharmaceuticals
11/18/2016	Cantrell Drug Company	Sterile drug products	Concern for Lack of Sterility Assurance	Cantrell Drug Company
11/18/2016	Tri-Coast Pharmacy Inc.	Sterile drug products	Concern for lack of sterility assurance	Tri-Coast Pharmacy Inc.
09/20/2016	Wells Pharmacy Network	Sterile human and veterinary compounded products	Concern for Lack of Sterility Assurance	Wells Pharmacy Network
09/14/2016	Virtus	Hyoscyamine Sulfate 0.125 mg tablets	Superpotent and subpotent test results	Virtus Pharmaceuticals Opco II, LLC
09/08/2016	GlucaGen® HypoKit®	Glucagon [rDNA origin] for injection	Detached needles on the syringe in the kit	Novo Nordisk Inc.
09/07/2016	Family Care	Eye Wash	Microbial contamination	United Exchange Corp
09/06/2016	Rugby, Major	Eye irrigating solution and Eye wash	Possible microbial contamination	United Exchange Corp.
08/26/2016	Lamotrigine	Lamotrigine	Incorrect labeling of blister cards	Impax Laboratories, Inc.
08/19/2016	Comfort	Comfort Shield Barrier Cream Cloths	Burkholderia cepacia	Sage Products
08/18/2016	Sagent Pharmaceuticals, Inc.	Oxacillin for Injection, USP, 10 g	May contain small, dark particulate matter (iron oxide)	Sagent Pharmaceuticals, Inc.
08/18/2016	Arbor	Cetylev (acetylcysteine) effervescent tablets	Inadequate seal of the blister pack	Arbor Pharmaceuticals, LLC
08/12/2016	Comfort	Comfort Shield Barrier Cream Cloths	Burkholderia cepacia	Sage Products
08/08/2016	Multiple brands	Liquid Drug Products	Due to potential Burkholderia cepacia contamination	PharmaTech, LLC
08/05/2016	Hospira	0.25% BUPIVACAINE HYDROCHLORIDE INJECTION, USP	Due to the presence of particulate matter	Hospira
08/02/2016	Teva Pharmaceuticals	Amikacin Sulfate Injection USP	Due to potential contamination with glass particulate matter	Teva Pharmaceuticals
08/01/2016	Comfort Shield	Barrier Cream Cloths	Due to product contamination with Burkholderia cepacia	Sage Products
07/21/2016	Talon Compounding Pharmacy (TCP)	HCG and Sermorelin	Lack of sterility assurance	Talon Compounding Pharmacy (TCP)
07/15/2016	Rugby	Diocto Liquid, docusate sodium solution	Burkholderia cepacia contamination	PharmaTech LLC
05/17/2016	Well Care Compounding Pharmacy	Unexpired sterile compounded products	Concern over lack of sterility assurance	Well Care Compounding Pharmacy
05/10/2016	Tiger-X, Ninja-X, Ginseng Power-X, Super Samurai-X	Marketed as a dietary supplement	Products contain Sildenafil, and analogs of Sildenafil	SOS Telecom, Inc.
05/05/2016	PharMEDium	Sterile Preparations Compounded With Fresenius Kabi Sensorcaine-MPF (bupivacaine HCl)	Presence of glass particulate	PharMEDium Services LLC
04/19/2016	Pharmakon Pharmaceuticals, Inc.	Sterile compounded products	Lack of sterility assurance	Pharmakon Pharmaceuticals, Inc.
04/13/2016	Hospira	50% Magnesium Sulfate Injection, USP	Particulate Matter	Hospira, Inc.
04/11/2016	Super Herbs	Super Herbs Capsules, Weight Loss Dietary Supplement	Unapproved new drug- FDA laboratory testing found SUPER HERBS to contain sibutramine, desmethylsibutramine, and/or phenolphthalein.	Super Herbs
04/05/2016	Continuum Labs	Marketed as a dietary supplement	Contains Ligandrol	INVISIBLU International LLC
03/28/2016	B. Braun Medical Inc.	5% Dextrose Injection USP	Leakage and visible particulate matter (microbial growth)	B. Braun Medical Inc.
03/18/2016	Hospira	8.4% Sodium Bicarbonate Injection, USP	Presence of particulate matter	Hospira Inc.
03/09/2016	Teva Pharmaceuticals	Amikacin sulfate injection USP, 1 gram/4mL (250 mg/mL)	Due to the potential presence of particulate matter identified as glass in one vial	Teva Pharmaceuticals
03/01/2016	Sagent Pharmaceuticals, Inc.	Fluconazole Injection, USP, (in 0.9% Sodium Chloride) 200mg per 100mL	Discovery of an out of specification impurity result detected	Sagent Pharmaceuticals, Inc.
02/17/2016	Baxter	0.9% Sodium Chloride Solution	Particulate Matter	Baxter International Inc.
02/16/2016	Pharmakon Pharmaceuticals	morphine sulfate 0.5 mg/mL preservative free in 0.9% sodium chloride	Super-potent	Pharmakon Pharmaceuticals
01/28/2016	Lucy's Weight Loss System	Pink Bikini and Shorts on The Beach	Undeclared Sibutramine, Phenolphthalein, and/or Diclofenac	Lucy's Weight Loss System
01/26/2016	Baxter	0.9% Sodium Chloride Injection, Metronidazole Injection, and Clinimix E 5/15	Leaking containers and particulate matter	Baxter International Inc.
01/20/2016	Master Herbs, Inc.	Licorice Coughing Liquid	Contains undeclared morphine	Master Herbs, Inc.
01/16/2016	Abbott's Compounding Pharmacy	Sterile Compounded Products that include injectable medications, sterile solutions, eye drops, and eye ointments	Lack of Sterility Assurance	Abbott's Compounding Pharmacy
01/09/2016	R Thomas Marketing LLC	Dietary Supplement	Unapproved new drug	R Thomas Marketing LLC
